,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,City_Mileage,ARAI_Certified_Mileage,Front_Brakes,Rear_Brakes,Power,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,Airbags,Number_of_Airbags
253,Volvo,Xc90,D5 R-Design,"Rs. 84,91,500",1969 cc,4,In-line,BS IV,"Front, Longitudinal",68 litres,Diesel,SUV,13.2 km/litre,17.2 km/litre,Ventilated Disc,Ventilated Disc,235 bhp @ 4250 rpm,7,Leather,2984 mm,235/65R20,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6
254,Land Rover Rover,Range Sport,4.4L Sdv8 Hse Diesel,"Rs. 1,49,08,985",4367 cc,8,V,BS IV,"Front, Longitudinal",105 litres,Diesel,SUV,5.9 km/litre,11.5 km/litre,Ventilated Disc,Ventilated Disc,335bhp@3500rpm,7,Leather,2923 mm,20,"Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",8
255,Jaguar,Xj,3.0L,"Rs. 97,38,609",2993 cc,6,V,BS IV,"Front, Longitudinal",82 litres,Diesel,Sedan,9.5 km/litre,12.9 km/litre,Ventilated Disc,Ventilated Disc,274PS@4000RPM,5,Leather,3157 mm,245/45 R19,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",6
256,Jaguar,Xj,3.0L Portfolio,"Rs. 1,07,25,145",2993 cc,6,V,BS IV,"Front, Longitudinal",83 litres,Diesel,Sedan,9.5 km/litre,12.9 km/litre,Ventilated Disc,Ventilated Disc,274PS@4000RPM,5,Leather,3157 mm,245/45 R19,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6
257,Jaguar,Xj,50,"Rs. 1,11,29,599",2993 cc,6,V,BS IV,"Front, Longitudinal",82 litres,Diesel,Sedan,9.5 km/litre,12.9 km/litre,Ventilated Disc,Ventilated Disc,302bhp@4000RPM,5,Leather,3157 mm,245/45 R19,"Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",6
258,Toyota,Land Cruiser,Vx,"Rs. 1,46,99,000",4461 cc,8,V,BS IV,"Front, Longitudinal",93 litres,Diesel,SUV,5.3 km/litre,9 km/litre,Ventilated Disc,Ventilated Disc,265PS@3400rpm,7,Leather,2850 mm,285/60R18,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags, Drive side airbag, Front passenger knee airbag",8
259,Audi,Rs7,Sportback,"Rs. 1,70,72,000",3993 cc,8,In-line,BS IV,"Front, Transverse",75 litres,Petrol,"Sedan, Coupe",5.6 km/litre,9.8 km/litre,Ventilated Disc,Ventilated Disc,560PS@6600RPM,4,Leather,2915 mm,275/35R20,"Driver frontal airbag, Driver head airbag, Front passenger frontal airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Rear passenger head airbags",8
260,Land Rover Rover,Range,5.0L V8 Autobiography Petrol,"Rs. 2,60,37,526",4999 cc,8,V,BS IV,"Front, Longitudinal",105 litres,Petrol,SUV,4.4 km/litre,9.6 km/litre,Solid Disc,Solid Disc,518bhp@6000-6500rpm,7,Leather,2922 mm,20,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",10
261,Land Rover Rover,Range,5.0L V8 Svautobiography Dynamic Petrol,"Rs. 3,25,22,000",4999 cc,8,V,BS IV,"Front, Longitudinal",105 litres,Petrol,SUV,4.4 km/litre,9.6 km/litre,Ventilated Disc,Ventilated Disc,558PS@6000-6500rpm,5,Leather,2922 mm,20,"Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver frontal airbag, Driver pelvic airbag, Front passenger frontal airbag, Front passenger side airbag",8
262,Land Rover Rover,Range,5.0L V8 Svautobiography Lwb Petrol,"Rs. 4,04,99,548",4999 cc,8,,BS IV,"Front, Longitudinal",65 litres,Petrol,SUV,8 km/litre,10kmpl km/litre,Drum,Drum,558bhp@6000-6500RPM,5,Leather,2922 mm,22,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",8
263,Maserati,Grancabrio,Standard,"Rs. 1,98,65,675",4691 cc,8,V,BS IV,"Front, Longitudinal",75 litres,Petrol,Convertible,4 km/litre,9.8 km/litre,Ventilated Disc,Ventilated Disc,450PS@7000rpm,4,Leather,2942 mm,R20,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Drive side airbag",4
